Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,46.87,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,46.96,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,44.78,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,40.35,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,41.97,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,42.03,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,41.05,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,42.68,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,36.26,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,28.01,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,26.27,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,33.54,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,32.85,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,39.24,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,50.39,Kilotonnes,Carbon dioxide equivalents
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,40.59,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,114.6,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,101.88,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,102.05,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,109.22,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,112.37,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,101.04,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,114,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,105.2,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,102.58,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,85.97,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,91.2,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,94.57,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,88.13,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,91.64,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,81.13,Kilotonnes,Carbon dioxide equivalents
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,80.81,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,103.45,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,106.4,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,117,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,104.57,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,109.92,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,108.71,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,90.53,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,104.77,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,92.35,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,76.44,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,69.26,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,78.94,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,95.51,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,97.1,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,86.98,Kilotonnes,Carbon dioxide equivalents
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,81.43,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,26.31,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,34.43,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,34.07,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,35.96,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,38.05,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,40.68,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,49.01,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,40.45,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,48.06,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,53.34,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,32.93,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,53.46,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,40.45,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,40.18,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,46.91,Kilotonnes,Carbon dioxide equivalents
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,37.32,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,52.54,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,45.7,Kilotonnes,Carbon dioxide equivalents
